_id,stpName,stpLat,stpLon,rtId,rtDir,isBus,stpLat_bin,stpLon_bin
15128,Western & Krueger/Orchard,41.66810328,-87.68035591,49A,North Bound,TRUE,0,5
8479,13426 S Western,41.64867313,-87.68033981,49A,North Bound,TRUE,0,5
8479,13426 S Western,41.64867313,-87.68033981,49A,South Bound,TRUE,0,5
8473,Western & Vernon/Birdsall,41.66464492,-87.68031299,49A,South Bound,TRUE,0,5
15819,119th Street & Western,41.6776599,-87.68031299,119,North Bound,TRUE,0,5
15819,119th Street & Western,41.6776599,-87.68031299,119,South Bound,TRUE,0,5
8486,Western & Collins/Cochran,41.66659252,-87.68028617,49A,North Bound,TRUE,0,5
8474,Western & 127th Street,41.66369514,-87.6802808,49A,South Bound,TRUE,0,5
8485,Western & Vernon/Birdsall,41.66458881,-87.68023252,49A,North Bound,TRUE,0,5
14180,Western & 119th Street Terminal,41.67721916,-87.6801306,119,North Bound,TRUE,0,5
8475,Western & Oak,41.66099801,-87.68011987,49A,South Bound,TRUE,0,5
8476,Western & Union,41.65886988,-87.68011451,49A,South Bound,TRUE,0,5
8477,Western & York,41.65734688,-87.68009841,49A,South Bound,TRUE,0,5
8478,Western & Vermont,41.65536292,-87.68008232,49A,South Bound,TRUE,0,5
8484,127th Street & Western,41.66280145,-87.67987847,49A,North Bound,TRUE,0,5
8480,E Frontage & Desplaines,41.64885752,-87.67980337,49A,North Bound,TRUE,0,5
8483,Gregory & Walnut,41.66004817,-87.67828524,49A,North Bound,TRUE,0,5
8482,Gregory & Union,41.65894202,-87.6782316,49A,North Bound,TRUE,0,5
8481,Gregory & York,41.65706633,-87.67820477,49A,North Bound,TRUE,0,5
12437,119th Street & Bell,41.67722718,-87.67705679,119,North Bound,TRUE,0,6
12436,119th Street & Bell,41.67729529,-87.6767993,119,South Bound,TRUE,0,6
12438,119th Street & Longwood,41.67725923,-87.67527044,119,North Bound,TRUE,0,6
12435,119th Street & Longwood,41.67733536,-87.67490566,119,South Bound,TRUE,0,6
12440,119th Street & Vincennes,41.6773033,-87.67216444,119,North Bound,TRUE,0,6
12433,119th Street & Vincennes,41.67737943,-87.67167091,119,South Bound,TRUE,0,6
17094,119th & Division,41.67736741,-87.6690048,119,North Bound,TRUE,0,6
17093,1916 W 119th Street,41.67744755,-87.66845763,119,South Bound,TRUE,0,6
2866,115th Street & Vincennes,41.68474731,-87.66745448,111,South Bound,TRUE,0,6
2932,115th Street & Vincennes,41.68468722,-87.66734183,111,North Bound,TRUE,0,6
2867,Vincennes & Edmaire,41.68661819,-87.66656399,111,South Bound,TRUE,0,6
2931,Vincennes & Edmaire,41.68680247,-87.66655326,111,North Bound,TRUE,0,6
2933,115th Street & Watkins,41.68469523,-87.66613483,111,North Bound,TRUE,0,6
2865,115th Street & Watkins,41.68476333,-87.66600609,111,South Bound,TRUE,0,6
12441,119th Street & Page,41.67743953,-87.66512632,119,North Bound,TRUE,0,6
12432,119th Street & Page,41.67750765,-87.66506195,119,South Bound,TRUE,0,6
2934,1700 W 115th Street,41.68477535,-87.66412318,111,North Bound,TRUE,0,6
2864,1700 W 115th Street,41.68484746,-87.66369402,111,South Bound,TRUE,0,6
12431,119th Street & Marshfield,41.67755573,-87.66274452,119,South Bound,TRUE,0,6
12442,119th Street & Marshfield,41.67748761,-87.66266406,119,North Bound,TRUE,0,6
2935,115th Street & Ashland,41.6848034,-87.66171992,111,North Bound,TRUE,0,6
2863,115th Street & Ashland,41.6848715,-87.6614356,111,South Bound,TRUE,0,6
12430,119th Street & Ashland,41.67757576,-87.66109228,119,South Bound,TRUE,0,6
12443,119th Street & Justine,41.67752367,-87.66023397,119,North Bound,TRUE,0,6
2862,115th Street & Laflin,41.68488352,-87.65984237,111,South Bound,TRUE,0,6
2936,115th Street & Laflin,41.68483144,-87.65936494,111,North Bound,TRUE,0,6
